"","Date","NDMI"
"141","14-Jul-94",0.0636884530673301
"142","14-Jul-98",0.168913596611921
"143","14-Jun-00",-0.141183403775248
"144","14-Jun-02",-0.0731557226187216
"145","14-Jun-03",-0.199217844576228
"146","14-Jun-04",0.0716276588242738
"147","14-Jun-07",0.0203287929836814
"148","14-Jun-09",-0.170554046345437
"149","14-Jun-93",-0.0518533698551064
"150","14-Jun-98",-0.0828560321970252
"151","14-May-01",-0.0149732635399967
"152","14-May-06",-0.287828852359608
"153","14-May-96",-0.0166217792892348
"154","14-Sep-00",-0.0963344528837723
"155","14-Sep-03",-0.264225512407155
"156","14-Sep-05",-0.240799579691094
"157","14-Sep-09",-0.15198419079604
"158","14-Sep-10",0.132164075767488
"159","14-Sep-94",0.00893702847724112
"160","14-Sep-96",-0.107922234162318
"161","15-Aug-04",-0.202530938990973
"162","15-Aug-05",-0.198792577617952
"163","15-Aug-07",-0.192811897178007
"164","15-Aug-98",0.0544411333692866
"165","15-Aug-99",-0.138340523562153
"166","15-Jul-06",-0.0765030259313831
"167","15-Jul-96",0.00469049960727058
"168","15-Jun-01",-0.181470627617614
"169","15-Jun-05",-0.0165576585119024
"170","15-Jun-99",-0.118306145933605
"171","15-May-02",-0.10721712134392
"172","15-May-04",-0.197124261435111
"173","15-May-07",-0.157969197947825
"174","15-May-08",-0.379636707500429
"175","15-May-93",-0.144999616784051
"176","15-May-97",-0.110594410872963
"177","16-Aug-95",0.074807757029747
"178","16-Aug-96",0.0521798826531712
"179","16-Jul-00",-0.319940910855771
"180","16-Jul-03",-0.128937959787202
"181","16-Jul-04",-0.0964975265637618
"182","16-Jul-07",-0.114460276185032
"183","16-Jul-09",-0.0680668573253631
"184","16-Jul-93",0.00552375200855392
"185","16-Jul-98",-0.02090528150259
"186","16-Jun-02",-0.1594993088815
"187","16-Jun-04",-0.0623951237446467
"188","16-Jun-07",-0.131403889504674
"189","16-Jun-08",-0.168953893184861
"190","16-Jun-93",-0.013777698337773
"191","16-Jun-97",0.0482256657667013
"192","16-Jun-98",-0.0694156622949029
"193","16-May-01",0.070330619124744
"194","16-May-05",-0.249222894750755
"195","16-May-09",-0.12087213611273
"196","16-May-10",-0.269285448744805
"197","16-May-94",-0.100208300660739
"198","16-May-96",-0.155757117718335
"199","16-May-99",-0.0761657099379384
"200","17-Aug-02",0.0334393573878009
"201","17-Aug-04",-0.214626207712585
"202","17-Aug-07",0.0117287594189889
"203","17-Aug-08",-0.198124599698322
"204","17-Aug-09",-0.118605940784662
"205","17-Aug-94",0.00347251598429522
"206","17-Jul-01",-0.122737096986826
"207","17-Jul-06",-0.295200728539701
"208","17-Jul-95",0.0446572289386209
"209","17-Jul-96",-0.00154895464414507
"210","17-Jul-99",-0.0618805895909749
"211","17-Jun-00",-0.0907397301082288
"212","17-Jun-01",-0.009023210026544
"213","17-Jun-03",-0.0503063139964473
"214","17-Jun-05",-0.11967496400065
"215","17-Jun-09",-0.16268051000216
"216","17-Jun-10",-0.145550664362519
"217","17-Jun-95",-0.026511550488524
"218","17-Jun-96",-0.0081444458534313
"219","17-Jun-99",-0.07695808635391
"220","17-May-02",-0.122889621255412
"221","17-May-07",-0.38406721528451
"222","17-May-93",-0.191305300461974
"223","18-Aug-05",-0.0792258376486152
"224","18-Aug-06",-0.228997732135935
"225","18-Aug-96",0.00324951893355705
"226","18-Aug-99",-0.0511098145536212
"227","18-Jul-02",-0.0942402357628224
"228","18-Jul-04",-0.0648899712339838
"229","18-Jul-07",-0.147493670822939
